bn:00087565v	
bn:00081250n	
bn:00096273a	
bn:00030821n	
bn:00606580n	http://dbpedia.org/resource/Electrical_polarity
bn:00085427v	
bn:00093282v	
bn:00035058n	http://dbpedia.org/resource/Flash-lamp
bn:00002224n	http://dbpedia.org/resource/Air_force
bn:00047042n	http://dbpedia.org/resource/Intensity_(physics)
bn:00018265n	http://dbpedia.org/resource/Chicken
bn:00001939n	http://dbpedia.org/resource/Year
bn:00103937a	
bn:00085860v	
bn:00032412n	
bn:00030401n	http://dbpedia.org/resource/Greece
bn:00562246n	http://dbpedia.org/resource/Spring,_Texas
bn:00047991n	http://dbpedia.org/resource/Japanese_language
bn:00058574n	http://dbpedia.org/resource/Ocean
bn:00082878v	
bn:00027489n	
bn:00084633v	
bn:00018253n	http://dbpedia.org/resource/Windy_City_(musical)
bn:00057482n	http://dbpedia.org/resource/Vanuatu
bn:00026014n	http://dbpedia.org/resource/Wait_(system_call)
bn:14527452n	
bn:00085103v	
bn:00102719a	
bn:01976435n	http://dbpedia.org/resource/Central_Visayas
bn:00111540a	
bn:00046765n	http://dbpedia.org/resource/Instinct
bn:00014182n	http://dbpedia.org/resource/Kiss
bn:00014557n	http://dbpedia.org/resource/Coffeehouse
bn:03503749n	http://dbpedia.org/resource/Morrow_(song)
bn:00108109a	
bn:00117043r	
bn:00017234n	http://dbpedia.org/resource/Century
bn:01438901n	http://dbpedia.org/resource/Taft,_Eastern_Samar
bn:00009838n	http://dbpedia.org/resource/Bema
bn:00042045n	http://dbpedia.org/resource/Safety_(firearms)
bn:00071547n	http://dbpedia.org/resource/Signature
bn:00075958n	http://dbpedia.org/resource/Taliban
bn:00052186n	http://dbpedia.org/resource/Letter_case
bn:00014009n	http://dbpedia.org/resource/Burmese_cat
bn:03746852n	http://dbpedia.org/resource/David_Beckham
bn:01842520n	http://dbpedia.org/resource/Wesfarmers
bn:00082920v	
bn:17238306n	http://dbpedia.org/resource/Șanț
bn:02042806n	http://dbpedia.org/resource/Chatra,_Jharkhand
bn:00028709n	http://dbpedia.org/resource/Drop_(liquid)
bn:02143515n	http://dbpedia.org/resource/Headlines!
bn:00087644v	
bn:00017498n	http://dbpedia.org/resource/Mail_(armour)
bn:13939420n	http://dbpedia.org/resource/Goods_wagon
bn:00086887v	
bn:00027917n	http://dbpedia.org/resource/Phylum
bn:00000086n	http://dbpedia.org/resource/Day
bn:00107791a	
bn:00050004n	http://dbpedia.org/resource/Larceny
bn:00001286n	
